consensus,genres,score,title
Livers fresh insights about the turmoil of adolescence -- and reveals writer-director greta gerwig as a fully formed filmmaking talent.,"
                        Comedy,
                        Drama",4/5,Lady Bird
"Lances the clean lines of architecture against the messiness of love, with tenderly moving results.","
                        Drama",4/5,Columbus
 a singularly distinctive crime drama offering far more than the usual genre thrills.,"
                        Drama",3.9,Good Time
Ds another outstanding chapter to writer-director makoto shinkai's filmography.,"
                        Animation,
                        Drama,
                        Romance",4.6,Your Name. (Kimi No Na Wa.)
"Earths overlooked history to spotlight one of activism's most powerful -- and often forgotten -- voices, dolores huerta.","
                        Documentary",4.2,Dolores
Fers an intriguing look at a culture whose unfamiliarity to many viewers will be rendered irrelevant by the story's universally affecting themes and thoughtful approach.,"
                        Drama",3.5,Menashe
"Ftly manages its ambitious themes through an inventive, artful, and ultimately poignant exploration of love and loss.","
                        Drama",3.5,A Ghost Story
"Kes a gut-wrenching look at lives all too often written off as lost causes, persuasively arguing that growth and change can be waiting where we least expect it.","
                        Documentary",4.3,The Work
"Es one family's experiences to offer trenchant, wide-ranging observations about modern american life.","
                        Documentary",4.1,Quest
"Nors its subject's legacy with an absorbing, beautifully filmed, and overall enlightening look at her decades of invaluable work.","
                        Documentary",4.2,Jane
"Osses cultural lines to offer timeless observations about parental responsibilities, personal bonds, and the capacity for forgiveness.","
                        Art House & International,
                        Drama",3.8,After the Storm (Umi yori mo mada fukaku)
Ines an entertaining -- and overdue -- spotlight on an engaging group of people whose singular craft is too often taken for granted.,"
                        Documentary",3.9,Obit
" a cat fancier's dream, but this thoughtful, beautifully filmed look at istanbul's street feline population offers absorbing viewing for filmgoers of any purr-suasion.","
                        Documentary",4.1,Kedi
" eye-opening viewing for professional sports enthusiasts, yet it should also prove thoroughly gripping even for filmgoers who might not necessarily be drawn to the subject.","
                        Documentary",4.5,Icarus
Fers an unvarnished look at the lives of young american women whose less compelling moments are more than balanced out by documentarian jenny gage's empathetic approach.,"
                        Documentary",3.5,All This Panic
Es bong joon-ho continuing to create defiantly eclectic entertainment -- and still hitting more than enough of his narrative targets in the midst of a tricky tonal juggling act.,"
                        Action & Adventure,
                        Drama,
                        Science Fiction & Fantasy",3.9,Okja
Ffering a timely drama whose melancholy air is leavened by its empathy.,"
                        Art House & International,
                        Comedy,
                        Drama",3.8,The Other Side of Hope (Toivon tuolla puolen)
"Ds martin scorsese's decades-long creative quest with a thoughtful, emotionally resonant look at spirituality and human nature that stands among the director's finest works.","
                        Drama",3.6,Silence
Talented cast -- particularly sally hawkins in the title role -- breathe much-needed depth into a story that only skims the surface of a fascinating life and talent.,"
                        Art House & International,
                        Drama,
                        Romance",4.2,Maudie
Es an oft-forgotten chapter from the aftermath of world war ii to tell a hard-hitting story whose period setting belies its timeless observations about bloodshed and forgiveness.,"
                        Art House & International,
                        Drama",4.1,Land of Mine (Under Sandet)
Des a committed vince vaughn performance into the brutally violent -- and undeniably entertaining -- depths of prison-set grindhouse genre fare.,"
                        Action & Adventure,
                        Mystery & Suspense",3.6,Brawl in Cell Block 99
Anscends its less-than-dramatic trappings to present a gripping real-life legal thriller with far-reaching implications.,"
                        Documentary",4.1,Abacus: Small Enough to Jail
Nds writer-director françois ozon thoughtfully probing the aftermath of world war i through the memories and relationships of loved ones left behind.,"
                        Art House & International,
                        Drama",4/5,Frantz
Fers a singularly expansive -- and sobering -- perspective on the global refugee crisis.,"
                        Documentary",3.8,Human Flow
"Rns real-life events into a crowd-pleasing, well-acted dramedy that ably entertains while smartly serving up a volley of present-day parallels.","
                        Comedy,
                        Drama,
                        Sports & Fitness",3.6,Battle of the Sexes
Livers a gut-wrenching -- and essential -- dramatization of a tragic chapter from america's past that draws distressing parallels to the present.,"
                        Drama,
                        Mystery & Suspense",3.8,Detroit
Ould thrill fans of pitch-black horror-comedy -- and open untold opportunities for writer/director/star alice lowe.,"
                        Art House & International,
                        Comedy,
                        Drama,
                        Horror,
                        Science Fiction & Fantasy",3.3,Prevenge
Oothly combines comedy and wartime drama to crowd-pleasing effect.,"
                        Comedy,
                        Drama,
                        Romance",3.7,Their Finest
 the rare r-rated comedy that pushes boundaries to truly comedic effect -- and anchors its laughs in compelling characters brought to life by a brilliantly assembled cast.,"
                        Comedy,
                        Drama",4/5,Girls Trip
Fers annette bening a too-rare opportunity to shine in a leading role -- and marks another assured step forward for writer-director mike mills.,"
                        Comedy,
                        Drama",3.7,20th Century Women
Fast-and-loose attitude with its real-life story mirrors the cavalier -- and delightfully watchable -- energy tom cruise gives off in the leading role.,"
                        Action & Adventure,
                        Drama,
                        Mystery & Suspense",3.8,American Made
Kes lethally effective use of its bare-bones trappings while proving once again that what's left unseen can be just as horrifying as anything on the screen.,"
                        Drama,
                        Horror",2.8,It Comes At Night
"Stately pace and visual grandeur hearken back to classic exploration epics, and charlie hunnam turns in a masterful performance as its complex protagonist.","
                        Action & Adventure,
                        Drama",3.3,The Lost City of Z
Ftly balances dark themes and fantastical elements to deliver an engrossing and uncommonly moving entry in the crowded coming-of-age genre.,"
                        Comedy,
                        Drama,
                        Kids & Family,
                        Science Fiction & Fantasy",3.9,A Monster Calls
"Res viewers into a character-driven mystery with smart writing, a strong cast, and a skillfully rendered setting that delivers the bitter chill promised by its title.","
                        Drama,
                        Mystery & Suspense",4.2,Wind River
"Ckles complicated subjects with intelligence, compassion, and wit.","
                        Art House & International,
                        Comedy,
                        Drama",3.9,The Women's Balcony (Ismach Hatani)
" held together by gary oldman's electrifying performance, which brings winston churchill to life even when the movie's narrative falters.","
                        Drama",4/5,Darkest Hour
"Fers a finely detailed portrait of a life whose placid passage may not have been inherently cinematic, but is made more affecting by cynthia nixon's strong performance.","
                        Drama",3/5,A Quiet Passion
"Ashes some surprising toughness beneath its period exterior, bolstered by a mesmerizing -- and unforgiving -- central performance by florence pugh.","
                        Art House & International,
                        Drama",3.6,Lady Macbeth
Fers an intriguing glimpse at a distinctive artist's work that's as warmly engaging as its subject.,"
                        Documentary",3.7,The B-Side: Elsa Dorfman's Portrait Photography
"Lurid violence and sexuality live up to its title, but they're anchored with an immersive atmosphere and deep symbolism that linger long after the provocative visuals fade.","
                        Horror",3.8,Raw
"Action-packed plot, dazzling visuals, and irreverent humor add up to a sequel that's almost as fun -- if not quite as thrillingly fresh -- as its predecessor.","
                        Action & Adventure,
                        Comedy,
                        Science Fiction & Fantasy",4.2,Guardians of the Galaxy Vol. 2
Stunning visuals are matched by a story that dares to confront sobering real-life issues with uncommon -- and richly rewarding -- honesty.,"
                        Animation,
                        Drama,
                        Kids & Family",4.1,The Breadwinner
Serves the family dynamic through writer-director noah baumbach's bittersweet lens and the impressive efforts of a remarkable cast.,"
                        Comedy,
                        Drama",3.6,The Meyerowitz Stories (New and Selected)
"Ays with genre tropes in unexpected ways, delivering a thoughtfully twisty supernatural thriller with a lingering impact.","
                        Art House & International,
                        Mystery & Suspense",3.7,Thelma
Plifies the horror in stephen king's classic story without losing touch with its heart.,"
                        Drama,
                        Horror,
                        Mystery & Suspense",4.1,It
Ses on the power of its well-chosen ensemble to offer an emotionally resonant fact-based story that transcends inspirational drama clichés.,"
                        Drama",3.9,Stronger
"Es what a sequel should -- which in this case means doubling down on the non-stop, thrillingly choreographed action that made its predecessor so much fun.","
                        Action & Adventure,
                        Drama",4.1,John Wick: Chapter 2
"Fers a thought-provoking look at big-game hunting that should challenge, trouble, and enrage viewers regardless of their personal perspective.","
                        Documentary",3.9,Trophy
Lls an irresistibly crowd-pleasing story in a thoroughly absorbing way -- and while smartly incorporating a variety of timely themes.,"
                        Documentary",4.2,Step
"Kes a close-up look at the civil unrest that erupted after a shocking act of violence in ferguson, missouri - and the decades of simmering tension leading up to it.","
                        Documentary",3.7,Whose Streets?
Rks yet another well-told chapter in director ken loach's powerfully populist filmography.,"
                        Art House & International,
                        Drama",4.1,"I, Daniel Blake"
"Esents a clear-eyed and uncommonly detailed view of one couple's relationship, offering insights as broadly illuminating as they are compassionate.","
                        Documentary",4/5,Dina
"Fers a unique ground-level perspective on an oft-dramatized period in history, further distinguished by beautiful hand-drawn animation.","
                        Animation,
                        Art House & International,
                        Drama",4.4,In This Corner of the World (Kono sekai no katasumi ni)
Rks yet another well-written and powerfully acted look at morality and societal decay from writer-director cristian mungiu.,"
                        Art House & International,
                        Drama",3.8,Graduation
Kes an affecting look at a long friendship separated by distance but undimmed by time.,"
                        Art House & International,
                        Comedy,
                        Drama",3.9,Truman
Ds to studio ghibli's estimable legacy with a beautifully animated effort whose deceptively simple story boasts narrative layers as richly absorbing as its lovely visuals.,"
                        Animation,
                        Art House & International",3.9,The Red Turtle (La tortue rouge)
Fers an engrossing look at a pivotal period in history that lingers long after the closing credits roll.,"
                        Art House & International,
                        Drama",4.1,BPM (Beats Per Minute) (120 battements par minute)
Ntinues its block-buster franchise's winning streak with another round of dizzyingly funny -- and beautifully animated -- family-friendly mayhem.,"
                        Action & Adventure,
                        Animation,
                        Comedy,
                        Kids & Family",3.9,The Lego Batman Movie
"Kes a hard-hitting, ground-level look at atrocities in a part of the world that may seem foreign to many viewers, but whose impact will be no less devastating.","
                        Documentary",4.1,City of Ghosts
Epens and expands its predecessor's story while standing as an impressive filmmaking achievement in its own right.,"
                        Action & Adventure,
                        Drama,
                        Science Fiction & Fantasy",4.1,Blade Runner 2049
Rks an outstanding directorial debut for francis lee.,"
                        Art House & International,
                        Drama,
                        Romance",4.2,God's Own Country
